proj,files,totalLines,commentLines,blankLines,lineOfCodes,class,property,method,functions,operator,size(bytes),size
mzkit\Rscript\Library\MSI_app\src\MSImaging_net48.vbproj,src\ggplot\options\MSIBackgroundOption.vb,16,4,3,9,1,1,0,1,0,479,479.00 B
mzkit\Rscript\Library\MSI_app\src\MSImaging_net48.vbproj,src\ggplot\options\MSIGaussBlurOption.vb,11,0,3,8,1,1,0,1,0,302,302.00 B
mzkit\Rscript\Library\MSI_app\src\MSImaging_net48.vbproj,src\ggplot\options\MSIKnnFillOption.vb,15,0,4,11,1,2,0,1,0,400,400.00 B
mzkit\Rscript\Library\MSI_app\src\MSImaging_net48.vbproj,src\ggplot\layers\MSIHeatMapLayer.vb,66,0,7,59,1,0,0,2,0,2901,2.90 KB
mzkit\Rscript\Library\MSI_app\src\MSImaging_net48.vbproj,src\ggplot\MSIHeatMap.vb,30,1,5,24,1,4,0,1,0,1036,1.04 KB
mzkit\Rscript\Library\MSI_app\src\MSImaging_net48.vbproj,src\ggplot\ggplotMSI.vb,25,0,3,22,1,0,1,1,0,889,889.00 B
mzkit\Rscript\Library\MSI_app\src\MSImaging_net48.vbproj,src\ggplot\MSIReader.vb,55,9,11,35,2,2,2,2,0,1713,1.71 KB
mzkit\Rscript\Library\MSI_app\src\MSImaging_net48.vbproj,src\Rscript.vb,183,3,25,155,1,0,0,9,0,7295,7.30 KB
mzkit\Rscript\Library\MSI_app\src\MSImaging_net48.vbproj,src\zzz.vb,15,3,3,9,1,0,1,0,0,465,465.00 B
mzkit\Rscript\Library\MSI_app\src\MSImaging_net48.vbproj,src\ggplot\layers\MSImagingLayer.vb,105,0,17,88,1,1,0,1,0,4636,4.64 KB
mzkit\Rscript\Library\MSI_app\src\MSImaging_net48.vbproj,src\ggplot\layers\MSIRGBCompositionLayer.vb,102,0,14,88,1,4,0,4,0,4723,4.72 KB
mzkit\Rscript\Library\MSI_app\src\MSImaging_net48.vbproj,src\ggplot\layers\ggplotMSILayer.vb,41,0,10,31,1,2,0,3,0,1704,1.70 KB
mzkit\Rscript\Library\MSI_app\src\MSImaging_net48.vbproj,src\ggplot\layers\MSIChannelLayer.vb,96,0,16,80,2,1,0,3,0,4275,4.28 KB
mzkit\Rscript\Library\MSI_app\src\MSImaging_net48.vbproj,<project>,760,20,121,619,15,18,4,29,0,30818,30.82 KB
mzkit\Rscript\Library\mzkit\mzkit.vbproj,mzkit\assembly\Assembly.vb,541,70,63,408,1,0,1,21,0,23297,23.30 KB
mzkit\Rscript\Library\mzkit\mzkit.vbproj,mzkit\assembly\ERS.vb,118,21,19,78,1,0,1,5,0,4746,4.75 KB
mzkit\Rscript\Library\mzkit\mzkit.vbproj,mzkit\assembly\data.vb,366,54,61,251,1,0,1,12,0,13905,13.91 KB
mzkit\Rscript\Library\mzkit\mzkit.vbproj,mzkit\assembly\Chromatogram.vb,197,10,27,160,1,0,2,8,0,7804,7.80 KB
mzkit\Rscript\Library\mzkit\mzkit.vbproj,mzkit\assembly\GCxGC.vb,151,33,17,101,1,0,0,7,0,5703,5.70 KB
mzkit\Rscript\Library\mzkit\mzkit.vbproj,mzkit\assembly\NMR.vb,45,10,7,28,1,0,0,5,0,1529,1.53 KB
mzkit\Rscript\Library\mzkit\mzkit.vbproj,mzkit\assembly\MzPackAccess.vb,55,0,8,47,1,0,0,4,0,2016,2.02 KB
mzkit\Rscript\Library\mzkit\mzkit.vbproj,mzkit\assembly\MSI.vb,464,73,55,336,1,0,1,17,0,19163,19.16 KB
mzkit\Rscript\Library\mzkit\mzkit.vbproj,mzkit\assembly\ThermoRaw.vb,74,6,11,57,1,0,0,6,0,2837,2.84 KB
mzkit\Rscript\Library\mzkit\mzkit.vbproj,mzkit\assembly\MzWeb.vb,338,68,37,233,1,0,1,13,0,13104,13.10 KB
mzkit\Rscript\Library\mzkit\mzkit.vbproj,mzkit\math\mz_deco.vb,18,0,4,14,1,0,0,2,0,586,586.00 B
mzkit\Rscript\Library\mzkit\mzkit.vbproj,mzkit\math\TestFormulaSymbolLang.vb,19,0,4,15,1,0,0,1,0,571,571.00 B
