ID,class,category,subcategory,order,entry,name
C14127,G Protein-coupled receptors,Rhodopsin family: amine receptors,Acetylcholine (muscarinic),muscarinic cholinergic receptor M1 [HSA:1128] [KO:K04129],C14127,Acotiamide	Antagonist
C09084,G Protein-coupled receptors,Rhodopsin family: amine receptors,Acetylcholine (muscarinic),muscarinic cholinergic receptor M1 [HSA:1128] [KO:K04129],C09084,Brucine	Agonist
C14127,G Protein-coupled receptors,Rhodopsin family: amine receptors,Acetylcholine (muscarinic),muscarinic cholinergic receptor M2 [HSA:1129] [KO:K04130],C14127,Acotiamide	Antagonist
C09084,G Protein-coupled receptors,Rhodopsin family: amine receptors,Acetylcholine (muscarinic),muscarinic cholinergic receptor M3 [HSA:1131] [KO:K04131],C09084,Brucine	Agonist
C08307,G Protein-coupled receptors,Rhodopsin family: amine receptors,Acetylcholine (muscarinic),muscarinic cholinergic receptor M3 [HSA:1131] [KO:K04131],C08307,Hordatine A	Antagonist
C09084,G Protein-coupled receptors,Rhodopsin family: amine receptors,Acetylcholine (muscarinic),muscarinic cholinergic receptor M4 [HSA:1132] [KO:K04132],C09084,Brucine	Agonist
C07471,G Protein-coupled receptors,Rhodopsin family: amine receptors,Acetylcholine (muscarinic),muscarinic cholinergic receptor [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133],C07471,Methacholine	Agonist
C07485,G Protein-coupled receptors,Rhodopsin family: amine receptors,Acetylcholine (muscarinic),muscarinic cholinergic receptor [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133],C07485,Oxotremorine	Agonist
C07506,G Protein-coupled receptors,Rhodopsin family: amine receptors,Acetylcholine (muscarinic),muscarinic cholinergic receptor [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133],C07506,Propantheline	Antagonist
C08202,G Protein-coupled receptors,Rhodopsin family: amine receptors,Acetylcholine (muscarinic),muscarinic cholinergic receptor [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133],C08202,Bethanechol chloride	Agonist
C12814,G Protein-coupled receptors,Rhodopsin family: amine receptors,Acetylcholine (muscarinic),muscarinic cholinergic receptor [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133],C12814,Prifinium bromide	Antagonist
C13639,G Protein-coupled receptors,Rhodopsin family: amine receptors,Adrenaline,alpha1a-adrenergic receptor [HSA:148] [KO:K04135],C13639,dl-Methylephedrine hydrochloride	Agonist
C13639,G Protein-coupled receptors,Rhodopsin family: amine receptors,Adrenaline,alpha1b-adrenergic receptor [HSA:147] [KO:K04136],C13639,dl-Methylephedrine hydrochloride	Agonist
C19980,G Protein-coupled receptors,Rhodopsin family: amine receptors,Adrenaline,alpha1d-adrenergic receptor [HSA:146] [KO:K04137],C19980,Domesticine	Antagonist
C13639,G Protein-coupled receptors,Rhodopsin family: amine receptors,Adrenaline,alpha1d-adrenergic receptor [HSA:146] [KO:K04137],C13639,dl-Methylephedrine hydrochloride	Agonist
C00179,G Protein-coupled receptors,Rhodopsin family: amine receptors,Adrenaline,alpha2a-adrenergic receptor [HSA:150] [KO:K04138],C00179,Agmatine	Agonist
C13639,G Protein-coupled receptors,Rhodopsin family: amine receptors,Adrenaline,alpha2a-adrenergic receptor [HSA:150] [KO:K04138],C13639,dl-Methylephedrine hydrochloride	Agonist
C09256,G Protein-coupled receptors,Rhodopsin family: amine receptors,Adrenaline,alpha2a-adrenergic receptor [HSA:150] [KO:K04138],C09256,Yohimbine	Antagonist
C00179,G Protein-coupled receptors,Rhodopsin family: amine receptors,Adrenaline,alpha2b-adrenergic receptor [HSA:151] [KO:K04139],C00179,Agmatine	Agonist
C13639,G Protein-coupled receptors,Rhodopsin family: amine receptors,Adrenaline,alpha2b-adrenergic receptor [HSA:151] [KO:K04139],C13639,dl-Methylephedrine hydrochloride	Agonist
C09256,G Protein-coupled receptors,Rhodopsin family: amine receptors,Adrenaline,alpha2b-adrenergic receptor [HSA:151] [KO:K04139],C09256,Yohimbine	Antagonist
C17925,G Protein-coupled receptors,Rhodopsin family: amine receptors,Adrenaline,alpha2b-adrenergic receptor [HSA:151] [KO:K04139],C17925,Nordephrine	Antagonist
C13639,G Protein-coupled receptors,Rhodopsin family: amine receptors,Adrenaline,alpha2c-adrenergic receptor [HSA:152] [KO:K04140],C13639,dl-Methylephedrine hydrochloride	Agonist
C00179,G Protein-coupled receptors,Rhodopsin family: amine receptors,Adrenaline,alpha2c-adrenergic receptor [HSA:152] [KO:K04140],C00179,Agmatine	Agonist
C09256,G Protein-coupled receptors,Rhodopsin family: amine receptors,Adrenaline,alpha2c-adrenergic receptor [HSA:152] [KO:K04140],C09256,Yohimbine	Antagonist
C17925,G Protein-coupled receptors,Rhodopsin family: amine receptors,Adrenaline,alpha2-adrenergic receptor [HSA:150 151 152] [KO:K04138 K04139 K04140],C17925,Nordephrine	Agonist
C13639,G Protein-coupled receptors,Rhodopsin family: amine receptors,Adrenaline,beta1-adrenergic receptor [HSA:153] [KO:K04141],C13639,dl-Methylephedrine hydrochloride	Agonist
C13639,G Protein-coupled receptors,Rhodopsin family: amine receptors,Adrenaline,beta2-adrenergic receptor [HSA:154] [KO:K04142],C13639,dl-Methylephedrine hydrochloride	Agonist
C17925,G Protein-coupled receptors,Rhodopsin family: amine receptors,Adrenaline,beta3-adrenergic receptor [HSA:155] [KO:K04143],C17925,Nordephrine   Antagonist
C13639,G Protein-coupled receptors,Rhodopsin family: amine receptors,Adrenaline,beta3-adrenergic receptor [HSA:155] [KO:K04143],C13639,dl-Methylephedrine hydrochloride	Agonist
C07780,G Protein-coupled receptors,Rhodopsin family: amine receptors,Histamine,H1-receptor [HSA:3269] [KO:K04149],C07780,Chlorpheniramine maleate	Antagonist
C17928,G Protein-coupled receptors,Rhodopsin family: amine receptors,Histamine,H1-receptor [HSA:3269] [KO:K04149],C17928,2-Methylhistamine	Agonist
C17926,G Protein-coupled receptors,Rhodopsin family: amine receptors,Histamine,H1-receptor [HSA:3269] [KO:K04149],C17926,2-Pyridinemethanamine	Agonist
C17927,G Protein-coupled receptors,Rhodopsin family: amine receptors,Histamine,H1-receptor [HSA:3269] [KO:K04149],C17927,Thiazolylethylamine	Agonist
C17930,G Protein-coupled receptors,Rhodopsin family: amine receptors,Histamine,H2-receptor [HSA:3274] [KO:K04150],C17930,Dimaprit	Agonist
C17929,G Protein-coupled receptors,Rhodopsin family: amine receptors,Histamine,H2-receptor [HSA:3274] [KO:K04150],C17929,4-Methylhistamine	Agonist
C17934,G Protein-coupled receptors,Rhodopsin family: amine receptors,Histamine,H3-receptor [HSA:11255] [KO:K04151],C17934,Clobenpropit	Antagonist
C06545,G Protein-coupled receptors,Rhodopsin family: amine receptors,Histamine,H3-receptor [HSA:11255] [KO:K04151],C06545,Conessine	Antagonist
C17931,G Protein-coupled receptors,Rhodopsin family: amine receptors,Histamine,H3-receptor [HSA:11255] [KO:K04151],C17931,Imetit	Agonist
C17932,G Protein-coupled receptors,Rhodopsin family: amine receptors,Histamine,H3-receptor [HSA:11255] [KO:K04151],C17932,Immepip	Agonist
C17933,G Protein-coupled receptors,Rhodopsin family: amine receptors,Histamine,H3-receptor [HSA:11255] [KO:K04151],C17933,Thioperamide	Antagonist
C07542,G Protein-coupled receptors,Rhodopsin family: amine receptors,Serotonin,5-HT2A-receptor [HSA:3356] [KO:K04157],C07542,Lysergic acid diethylamide	Agonist
C13665,G Protein-coupled receptors,Rhodopsin family: amine receptors,Serotonin,5-HT2A-receptor [HSA:3356] [KO:K04157],C13665,2-Methyl-5-hydroxytryptamine	Agonist
C11738,G Protein-coupled receptors,Rhodopsin family: amine receptors,Serotonin,5-HT2C-receptor [HSA:3358] [KO:K04157],C11738,m-Chlorophenylpiperazine	Agonist
C13494,G Protein-coupled receptors,Rhodopsin family: amine receptors,Serotonin,5-HT4-receptor [HSA:3360] [KO:K04160],C13494,Mosapride citrate hydrate	Agonist
C01505,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Bradykinin,bradykinin B1 receptor [HSA:623] [KO:K03915],C01505,Kallidin	Agonist
C20010,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Bradykinin,bradykinin B2 receptor [HSA:624] [KO:K03916],C20010,Anatibant	Antagonist
C00306,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Bradykinin,bradykinin B2 receptor [HSA:624] [KO:K03916],C00306,Bradykinin	Agonist
C01505,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Bradykinin,bradykinin B2 receptor [HSA:624] [KO:K03916],C01505,Kallidin	Agonist
C20266,G Protein-coupled receptors,Rhodopsin family: peptide receptors,CXC Chemokine,C-X-C chemokine receptor type 4 [HSA:7852] [KO:K04189],C20266,AMD 070	Inhibitor
C16114,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Cholecystokinin,cholecystokinin A / gastrin receptor [HSA:886] [KO:K04194],C16114,Cholecystokinin-8	Agonist
C16114,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Cholecystokinin,cholecystokinin B / gastrin receptor [HSA:887] [KO:K04195],C16114,Cholecystokinin-8	Agonist
C16133,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Cholecystokinin,cholecystokinin B / gastrin receptor [HSA:887] [KO:K04195],C16133,Cholecystokinin-33	Agonist
C18186,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Cholecystokinin,cholecystokinin / gastrin receptor [HSA:886 887] [KO:K04194 K04195],C18186,Gastrin-14	Agonist
C16113,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Cholecystokinin,cholecystokinin / gastrin receptor [HSA:886 887] [KO:K04194 K04195],C16113,Gastrin-17	Agonist
C18187,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Cholecystokinin,cholecystokinin / gastrin receptor [HSA:886 887] [KO:K04194 K04195],C18187,Gastrin-34 	Agonist
C16103,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Melanocortin,melanocortin receptor [HSA:4157 4158 4160 4159 4161] [KO:K04199 K04200 K04201 K04202 K04203],C16103,Agouti related protein (87-132)	Antagonist
C16109,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Neuropeptide FF,neuropeptide FF receptor 1 [HSA:64106] [KO:K04240],C16109,RFamide-related peptide 1	Agonist
C16110,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Neuropeptide FF,neuropeptide FF receptor 1 [HSA:64106] [KO:K04240],C16110,RFamide-related peptide 3	Agonist
C20167,G Protein-coupled receptors,Rhodopsin family: peptide receptors,Opioid,delta-opioid receptor [HSA:4985] [KO:K04213],C20167,7-Benzylidenenaltrexone	Antagonist
