ID,class,category,subcategory,order,entry,name
C06186,O-glycosides,Phenolic glycosides,N/A,N/A,C06186,Arbutin
C01451,O-glycosides,Phenolic glycosides,N/A,N/A,C01451,Salicin
C06188,O-glycosides,Phenolic glycosides,N/A,N/A,C06188,Salicin 6-phosphate
C06046,O-glycosides,Phenolic glycosides,N/A,N/A,C06046,Salidroside
C01604,O-glycosides,Phenolic glycosides,N/A,N/A,C01604,Phlorizin
C10823,O-glycosides,Phenolic glycosides,N/A,N/A,C10823,Populin
C09973,O-glycosides,Phenolic glycosides,N/A,N/A,C09973,Tremulacin
C10501,O-glycosides,Phenolic glycosides,N/A,N/A,C10501,Verbascoside
C10303,O-glycosides,Anthraquinone glycosides,N/A,N/A,C10303,Aurantio-obtusin beta-D-glucoside
C10313,O-glycosides,Anthraquinone glycosides,N/A,N/A,C10313,Chryso-obtusin glucoside
C10316,O-glycosides,Anthraquinone glycosides,N/A,N/A,C10316,Chrysophanol 8-O-beta-D-glucoside
C10345,O-glycosides,Anthraquinone glycosides,N/A,N/A,C10345,Emodin 8-glucoside
C10346,O-glycosides,Anthraquinone glycosides,N/A,N/A,C10346,Frangulin A
C10349,O-glycosides,Anthraquinone glycosides,N/A,N/A,C10349,Frangulin B
C16802,O-glycosides,Anthraquinone glycosides,N/A,N/A,C16802,Glucofrangulin A
C16803,O-glycosides,Anthraquinone glycosides,N/A,N/A,C16803,Glucofrangulin B
C03503,O-glycosides,Anthraquinone glycosides,N/A,N/A,C03503,Glucosyloxyanthraquinone
C04719,O-glycosides,Anthraquinone glycosides,N/A,N/A,C04719,"1-Hydroxy-2-(beta-D-glucosyloxy)-9,10-anthraquinone"
C18684,O-glycosides,Anthraquinone glycosides,N/A,N/A,C18684,Landomycin D
C18683,O-glycosides,Anthraquinone glycosides,N/A,N/A,C18683,Landomycin H
C18778,O-glycosides,Anthraquinone glycosides,N/A,N/A,C18778,8-D-Olivosyl-landomycin
C10381,O-glycosides,Anthraquinone glycosides,N/A,N/A,C10381,Obtusifolin 2-glucoside
C10382,O-glycosides,Anthraquinone glycosides,N/A,N/A,C10382,Physcion 8-gentiobioside
C10384,O-glycosides,Anthraquinone glycosides,N/A,N/A,C10384,Physcion 8-glucoside
C10404,O-glycosides,Anthraquinone glycosides,N/A,N/A,C10404,Sennoside A
C13526,O-glycosides,Anthraquinone glycosides,N/A,N/A,C13526,Sennoside B
C16797,O-glycosides,Anthraquinone glycosides,N/A,N/A,C16797,Sennoside C
C16798,O-glycosides,Anthraquinone glycosides,N/A,N/A,C16798,Sennoside D
C22099,O-glycosides,Anthraquinone glycosides,N/A,N/A,C22099,Sennoside A calcium salt
C22100,O-glycosides,Anthraquinone glycosides,N/A,N/A,C22100,Sennoside B calcium salt
C12411,O-glycosides,Anthraquinone glycosides,N/A,N/A,C12411,Urdamycin F
C12414,O-glycosides,Anthraquinone glycosides,N/A,N/A,C12414,Urdamycin G
C12408,O-glycosides,Anthraquinone glycosides,N/A,N/A,C12408,100-2
C12130,O-glycosides,Anthocyanin glycosides,Glycosylated cyanidin,,C12130,Anemone blue anthocyanin 1
C12131,O-glycosides,Anthocyanin glycosides,Glycosylated cyanidin,,C12131,Anemone blue anthocyanin 2
C12132,O-glycosides,Anthocyanin glycosides,Glycosylated cyanidin,,C12132,Anemone blue anthocyanin 3
C12133,O-glycosides,Anthocyanin glycosides,Glycosylated cyanidin,,C12133,Anemone blue anthocyanin 4
