id,mz,rt,name
5529637,432.31385714286,380.513856,"unknown conserved[89.06/133.09/177.11/158.12/87.04]"
5530068,504.29815,393.11973,"unknown conserved[89.06/133.09/177.11/100.11/87.04]"
5530608,619.869,458.6001,"unknown conserved[89.06/133.09/87.04/177.11/111.04]"
5530629,628.3762,451.693848,"unknown conserved[89.06/133.09/87.04/177.11/111.04]"
5531075,768.5663,443.112972,"unknown conserved[89.06/133.09/158.12/87.04/83.05]"
5534069,415.2777,449.160846,"unknown conserved[89.06/133.09/87.04/177.11/86.10]"
5534389,460.30236,379.512342,"unknown conserved[89.06/133.09/177.11/86.10/87.04]"
5535093,619.8698,457.786218,"unknown conserved[89.06/133.09/87.04/177.11/111.04]"
5535364,724.46155,435.49371,"unknown conserved[89.06/133.09/87.04/158.12/177.11]"
5535587,812.5211,450.208842,"unknown conserved[89.06/133.09/87.04/184.07/177.11]"
5538569,432.25503846154,379.261686,"unknown conserved[89.06/133.09/158.12/177.11/85.03]"
5539647,619.8699,459.539058,"unknown conserved[89.06/133.09/87.04/177.11/111.04]"
5539955,724.4987,436.423938,"unknown conserved[89.06/133.09/87.04/229.16/177.11]"
5543351,476.3073,391.465116,"unknown conserved[89.06/133.09/177.11/255.11/87.04]"
5543488,504.30865714286,392.00274,"unknown conserved[89.06/133.09/312.06/177.11/87.04]"
5547465,432.207975,379.03911,"unknown conserved[89.06/133.09/177.11/158.12/87.04]"
5548366,606.3697,457.458762,"unknown conserved[89.06/133.09/87.04/177.11/111.04]"
5552018,460.314075,380.856492,"unknown conserved[89.06/133.09/177.11/100.11/87.04]"
5552566,566.8376,480.10362,"unknown conserved[89.06/133.09/87.04/177.11/99.04]"
5552967,680.4433,428.068752,"unknown conserved[89.06/133.09/87.04/177.11/343.11]"
5553353,828.542525,456.14037,"unknown conserved[89.06/133.09/87.04/829.43/177.11]"
5556300,432.19812666667,379.479882,"unknown conserved[89.06/133.09/158.12/85.03/177.11]"
5556571,477.19454,391.18851,"unknown conserved[89.06/133.09/177.11/87.04/255.11]"
5557209,606.3773,458.783382,"unknown conserved[89.06/133.09/87.04/177.11/111.04]"
5557282,628.38383333333,457.19076,"unknown conserved[89.06/133.09/87.04/177.11/111.04]"
5557321,636.4136,420.49851,"unknown conserved[89.06/133.09/87.04/177.11/315.13]"
5557451,680.4435,428.002884,"unknown conserved[89.06/133.09/87.04/384.12/177.11]"
5557688,768.54785714286,444.086634,"unknown conserved[89.06/133.09/87.04/158.12/83.05]"
5561242,520.33776666667,401.925966,"unknown conserved[89.06/133.09/100.11/87.04/177.11]"
5565572,476.26925555556,391.853334,"unknown conserved[89.06/133.09/177.05/87.04]"
5566180,619.8781,458.365956,"unknown conserved[89.06/133.09/87.04/111.04/177.11]"
5569635,432.1999125,380.306238,"unknown conserved[89.06/133.09/158.12/177.11/86.10]"
5569915,476.25898,391.228614,"unknown conserved[89.06/133.09/177.11/87.04/86.10]"
5570137,520.35058333333,401.239368,"unknown conserved[89.06/133.09/87.04/177.11/144.10]"
5570311,548.33048333333,402.68286,"unknown conserved[89.06/133.09/70.07/177.11/87.04]"
5570391,564.351,410.15286,"unknown conserved[89.06/133.09/87.04/177.11/565.28]"
5570470,584.2912,448.097484,"unknown conserved[89.06/133.09/87.04/177.11/111.04]"
5570579,619.8693,459.587484,"unknown conserved[89.06/133.09/87.04/177.11/111.04]"
5571025,768.566725,444.110496,"unknown conserved[89.06/133.09/158.12/87.04/83.05]"
5574953,584.40723333333,452.617146,"unknown conserved[89.06/133.09/87.04/177.11/111.04]"
5578590,432.26254166667,380.06103,"unknown conserved[89.06/133.09/158.12/177.11/116.07]"
5578857,476.27116666667,391.268898,"unknown conserved[89.06/133.09/251.09/177.11/87.04]"
5579473,606.3701,457.158528,"unknown conserved[89.06/133.09/87.04/177.11/111.04]"
5583376,476.28678,391.546506,"unknown conserved[89.06/133.09/177.11/87.04/86.10]"
5583947,584.3896,449.873502,"unknown conserved[89.06/133.09/87.04/177.11/111.04]"
5584026,608.386,419.277132,"unknown conserved[89.06/133.09/87.04/609.31/177.11]"
5587883,520.3368,400.873686,"unknown conserved[89.06/133.09/87.04/144.10/177.11]"
5588624,692.43376,413.015436,"unknown conserved[89.06/133.09/99.04/87.04/158.12]"
5588853,768.57162,443.029308,"unknown conserved[89.06/133.09/87.04/158.12/83.05]"
5596999,548.3213875,401.75736,"unknown conserved[89.06/133.09/87.04/177.11/91.74]"
5597133,584.2929,449.038608,"unknown conserved[89.06/133.09/87.04/177.11/155.07]"
5597207,608.365,418.901982,"unknown conserved[89.06/133.09/87.04/123.08/177.11]"
5601726,548.3689,403.507632,"unknown conserved[89.06/133.09/70.07/177.11/87.04]"
5601895,591.34285,421.64751,"unknown conserved[89.06/133.09/87.04/70.07/177.11]"
5605236,432.20536666667,379.618968,"unknown conserved[89.06/133.09/177.11/158.12/87.04]"
5609821,432.26261,378.914238,"unknown conserved[89.06/133.09/177.11/158.12/87.04]"
5610234,504.3369,391.68024,"unknown conserved[89.06/133.09/177.11/86.10/87.04]"
5610629,584.3775,449.36298,"unknown conserved[89.06/133.09/87.04/177.11/111.04]"
5610674,597.8566,455.714238,"unknown conserved[89.06/133.09/87.04/177.11/111.04]"
5615021,504.3117,391.770828,"unknown conserved[89.06/133.09/86.10/177.11/87.04]"
5615208,548.30646666667,402.414828,"unknown conserved[89.06/133.09/87.04/177.11/86.10]"
5615376,592.3914,412.098336,"unknown conserved[89.06/133.09/87.04/177.11/91.06]"
5618966,432.25351333333,380.209812,"unknown conserved[89.06/133.09/177.11/86.10/87.04]"
5619294,476.308225,391.183932,"unknown conserved[89.06/133.09/177.11/86.10/87.04]"
5619901,606.3706,454.29006,"unknown conserved[89.06/133.09/87.04/177.11/111.04]"
5619950,628.3767,456.431682,"unknown conserved[89.06/133.09/87.04/303.09/177.11]"
5628007,553.8304,445.929078,"unknown conserved[89.06/133.09/87.04/111.04/177.11]"
5628166,584.4003,446.453706,"unknown conserved[89.06/133.09/87.04/177.11/111.04]"
5628674,724.44695,435.57036,"unknown conserved[89.06/133.09/87.04/229.15/177.11]"
5632832,564.34653333333,413.102856,"unknown conserved[89.06/133.09/86.10/87.04/177.11]"
5636140,432.20461111111,379.792674,"unknown conserved[89.06/133.09/158.12/177.11/116.07]"
5636660,520.33343333333,400.420542,"unknown conserved[89.06/133.09/87.04/177.11/144.10]"
5636855,553.8304,444.395166,"unknown conserved[89.06/133.09/87.04/111.04/177.11]"
5641690,547.329925,412.86147,"unknown conserved[89.06/133.09/87.04/86.10/177.11]"
5641995,636.4174,419.38785,"unknown conserved[89.06/133.09/87.04/177.11/182.08]"
5645588,520.3366,401.090328,"unknown conserved[89.06/133.09/144.10/87.04/177.11]"
5645733,548.32901428571,402.36795,"unknown conserved[89.06/133.09/177.11/87.04/131.07]"
5649701,432.279125,378.892368,"unknown conserved[89.06/133.09/158.12/177.11/116.07]"
5650118,504.332925,391.712994,"unknown conserved[89.06/133.09/86.10/177.11/87.04]"
5650267,536.32825,474.861618,"unknown conserved[89.06/133.09/87.04/99.04/177.11]"
5650356,553.34383333333,474.20436,"unknown conserved[89.06/133.09/87.04/99.04/177.11]"
5650607,619.8697,456.045744,"unknown conserved[89.06/133.09/87.04/177.11/111.04]"
5650880,724.43866666667,434.386986,"unknown conserved[89.06/133.09/87.04/158.12/177.11]"
5650992,768.5598,441.677994,"unknown conserved[89.06/133.09/158.12/87.04/83.05]"
5654861,520.28996666667,401.973462,"unknown conserved[89.06/133.09/87.04/177.11/86.10]"
5655090,564.30925,411.049464,"unknown conserved[89.06/133.09/87.04/177.11/70.07]"
5659131,476.27141666667,391.94571,"unknown conserved[89.06/133.09/177.11/86.10/87.04]"
5663666,504.3237,391.390326,"unknown conserved[89.06/133.09/177.11/100.11/87.04]"
5663847,548.3601,401.322456,"unknown conserved[89.06/133.09/177.11/87.04/70.07]"
5672314,504.32946666667,390.142884,"unknown conserved[89.06/133.09/100.11/177.11/87.04]"
5672420,531.8176,439.368882,"unknown conserved[89.06/133.09/87.04/111.04/177.11]"
5672511,553.8309,444.128502,"unknown conserved[89.06/133.09/87.04/111.04/177.11]"
5672587,575.8438,448.858506,"unknown conserved[89.06/133.09/87.04/111.04/177.11]"
5672618,584.40932,438.981258,"unknown conserved[89.06/133.09/87.04/177.11/111.04]"
5672662,597.8569,453.482004,"unknown conserved[89.06/133.09/87.04/111.04/177.11]"
5672718,619.8702,458.255382,"unknown conserved[89.06/133.09/87.04/177.11/111.04]"
5672732,628.41625,445.866624,"unknown conserved[89.06/133.09/87.04/177.11/155.07]"
5676793,460.3035,380.155512,"unknown conserved[89.06/133.09/177.11/182.08/87.04]"
5677387,636.43285,419.468382,"unknown conserved[89.06/133.09/315.13/87.04/177.11]"
5681826,696.439,436.791918,"unknown conserved[89.06/133.09/87.04/70.07/177.11]"
5685934,548.34243333333,401.465178,"unknown conserved[89.06/133.09/177.11/87.04/86.10]"
5690284,520.35833333333,391.703502,"unknown conserved[89.06/133.09/177.11/87.04/300.06]"
5690739,652.4126,419.703498,"unknown conserved[89.06/133.09/87.04/86.10/177.11]"
5694938,531.78895,439.460904,"unknown conserved[89.06/133.09/87.04/111.04/177.11]"
5695041,553.8312,444.98178,"unknown conserved[89.06/133.09/87.04/177.11/111.04]"
5695110,575.8444,449.535774,"unknown conserved[89.06/133.09/87.04/177.11/111.04]"
5695185,597.8575,453.744162,"unknown conserved[89.06/133.09/87.04/177.11/111.04]"
5695186,598.37815,449.921532,"unknown conserved[89.06/133.09/87.04/111.04/177.11]"
5695264,619.8707,458.091786,"unknown conserved[89.06/133.09/87.04/177.11/111.04]"
5695266,620.3893,452.588526,"unknown conserved[89.06/133.09/87.04/177.11/111.04]"
5695332,636.46615,418.359654,"unknown conserved[89.06/133.09/87.04/120.08/177.11]"
5699438,476.2335,390.994032,"unknown conserved[89.06/133.09/177.11/86.10/87.04]"
5699942,628.33865,455.862906,"unknown conserved[89.06/133.09/87.04/177.11/111.04]"
5704427,564.3599,412.032378,"unknown conserved[89.06/133.09/87.04/177.11/86.10]"
5708316,432.24905714286,379.297824,"unknown conserved[89.06/133.09/177.11/86.10/87.04]"
5709293,680.405,427.48632,"unknown conserved[89.06/133.09/87.04/177.11/86.10]"
5713568,592.3906,412.397706,"unknown conserved[89.06/133.09/70.07/177.11/87.04]"
5717911,564.3602,411.158682,"unknown conserved[89.06/133.09/177.11/87.04/70.07]"
5718031,608.36275,419.14005,"unknown conserved[89.06/133.09/87.04/177.11/86.10]"
5718247,740.4642,443.041302,"unknown conserved[89.06/133.09/87.04/177.11/70.07]"
5726178,432.25616666667,378.415308,"unknown conserved[89.06/133.09/177.11/86.10/87.04]"
5726560,495.8074,450.990174,"unknown conserved[89.06/133.09/87.04/177.11/180.10]"
5726586,503.2753,402.126312,"unknown conserved[89.06/133.09/86.10/87.04/177.11]"
5726592,504.3205,449.51943,"unknown conserved[89.06/133.09/177.11/101.06/87.04]"
5726638,517.8619,456.323436,"unknown conserved[89.06/133.09/87.04/177.11/100.11]"
5726731,539.8336,459.529434,"unknown conserved[89.06/133.09/177.11/87.04/101.06]"
5726733,540.35792,454.897062,"unknown conserved[89.06/133.09/87.04/177.11/100.11]"
5726763,548.3647,401.590812,"unknown conserved[89.06/133.09/177.11/87.04/70.07]"
5726813,561.8467,464.300934,"unknown conserved[89.06/133.09/87.04/187.11/177.11]"
5726814,562.3627,459.663552,"unknown conserved[89.06/133.09/87.04/563.37/177.11]"
5726837,570.3619,462.167304,"unknown conserved[89.06/133.09/87.04/177.11/101.06]"
5726873,584.40733333333,463.765932,"unknown conserved[89.06/133.09/87.04/177.11/100.11]"
5726901,592.3729,467.009928,"unknown conserved[89.06/133.09/87.04/177.11/101.06]"
5726963,614.3862,470.458686,"unknown conserved[89.06/133.09/87.04/177.11/101.06]"
5726986,627.8864,475.641804,"unknown conserved[89.06/133.09/87.04/177.11/101.06]"
5727132,724.46085,434.832192,"unknown conserved[89.06/133.09/87.04/188.40/177.11]"
5730976,504.28511428571,391.228992,"unknown conserved[89.06/133.09/86.10/177.11/87.04]"
5731205,548.376,400.829124,"unknown conserved[89.06/133.09/87.04/177.11/86.10]"
5731373,592.35675,410.519868,"unknown conserved[89.06/133.09/87.04/70.07/177.11]"
5731499,628.38413333333,457.390248,"unknown conserved[89.06/133.09/87.04/177.11/111.04]"
5735605,476.281525,390.494478,"unknown conserved[89.06/133.09/177.11/87.04/86.10]"
5736407,784.4909,448.016256,"unknown conserved[89.06/133.09/87.04/177.11/131.07]"
5740071,481.321725,463.104072,"unknown conserved[89.06/133.09/87.04/177.11/131.07]"
5740176,503.3306,467.822952,"unknown conserved[89.06/133.09/87.04/177.11/100.11]"
5740277,525.30153333333,472.578696,"unknown conserved[89.06/133.09/87.04/177.11/131.07]"
