ID,class,category,subcategory,order,entry,name
C06800,Group 1: Carcinogenic to humans,Compounds,,,C06800,Aflatoxin B1	Liver and bile duct
C10998,Group 1: Carcinogenic to humans,Compounds,,,C10998,4-Aminobiphenyl	Urinary bladder
C08469,Group 1: Carcinogenic to humans,Compounds,,,C08469,Aristolochic acid	Renal pelvis and ureter
C06269,Group 1: Carcinogenic to humans,Compounds,,,C06269,"Arsenic	Lung, skin (malignant neoplasms except melanoma), urinary bladder"
C16442,Group 1: Carcinogenic to humans,Compounds,,,C16442,"Asbestos	Larynx, lung, mesothelium (pleura and peritoneum), ovary"
C06837,Group 1: Carcinogenic to humans,Compounds,,,C06837,"Azathioprine	Skin (malignant neoplasms except melanoma), leukaemia and/or lymphoma"
C01407,Group 1: Carcinogenic to humans,Compounds,,,C01407,Benzene	Leukaemia and/or lymphoma
C16444,Group 1: Carcinogenic to humans,Compounds,,,C16444,Benzidine	Urinary bladder
C07535,Group 1: Carcinogenic to humans,Compounds,,,C07535,Benzo[a]pyrene
C16460,Group 1: Carcinogenic to humans,Compounds,,,C16460,Beryllium	Lung
C19158,Group 1: Carcinogenic to humans,Compounds,,,C19158,Bis(chloromethyl) ether	Lung
C06862,Group 1: Carcinogenic to humans,Compounds,,,C06862,Busulfan	Leukaemia and/or lymphoma
C16450,Group 1: Carcinogenic to humans,Compounds,,,C16450,"1,3-Butadiene	Leukaemia and/or lymphoma"
C01413,Group 1: Carcinogenic to humans,Compounds,,,C01413,Cadmium	Lung
C06900,Group 1: Carcinogenic to humans,Compounds,,,C06900,Chlorambucil	Leukaemia and/or lymphoma
C16446,Group 1: Carcinogenic to humans,Compounds,,,C16446,Chlornaphazine	Urinary bladder
C19160,Group 1: Carcinogenic to humans,Compounds,,,C19160,Chloromethyl methyl ether	Lung
C19161,Group 1: Carcinogenic to humans,Compounds,,,C19161,Chromium (VI)	Lung
C16451,Group 1: Carcinogenic to humans,Compounds,,,C16451,"Coal-tar pitch	Lung, skin (malignant neoplasms except melanoma)"
C07888,Group 1: Carcinogenic to humans,Compounds,,,C07888,"Cyclophosphamide	Urinary bladder, leukaemia and/or lymphoma"
C06933,Group 1: Carcinogenic to humans,Compounds,,,C06933,"Cyclophosphamide hydrate	Urinary bladder, leukaemia and/or lymphoma"
C05086,Group 1: Carcinogenic to humans,Compounds,,,C05086,"Cyclosporin A	Skin (malignant neoplasms except melanoma), leukaemia and/or lymphoma, multiple sites (unspecified)"
C07620,Group 1: Carcinogenic to humans,Compounds,,,C07620,"Diethylstilbestrol	Breast, vagina, uterine cervix"
C19163,Group 1: Carcinogenic to humans,Compounds,,,C19163,Erionite	Mesothelium (pleura and peritoneum)
C00469,Group 1: Carcinogenic to humans,Compounds,,,C00469,Ethanol
C06548,Group 1: Carcinogenic to humans,Compounds,,,C06548,Ethylene oxide
C01576,Group 1: Carcinogenic to humans,Compounds,,,C01576,Etoposide (in combination with cisplatin and bleomycin)	Leukaemia and/or lymphoma
C00067,Group 1: Carcinogenic to humans,Compounds,,,C00067,"Formaldehyde	Nasopharynx, leukaemia and/or lymphoma"
C07122,Group 1: Carcinogenic to humans,Compounds,,,C07122,Melphalan	Leukaemia and/or lymphoma
C01864,Group 1: Carcinogenic to humans,Compounds,,,C01864,Methoxsalen (plus ultraviolet A radiation)	Skin (malignant neoplasms except melanoma)
