ID,class,category,subcategory,order,entry,name
C07473,Fungal toxins,Mushroom toxins,Alkaloids,,C07473,Muscarine
C08311,Fungal toxins,Mushroom toxins,Alkaloids,,C08311,Muscimol
C19959,Fungal toxins,Mushroom toxins,Alkaloids,,C19959,Orellanine
C08312,Fungal toxins,Mushroom toxins,Alkaloids,,C08312,Psilocin
C07576,Fungal toxins,Mushroom toxins,Alkaloids,,C07576,Psilocybin
C08438,Fungal toxins,Mushroom toxins,Cyclic peptides,,C08438,alpha-Amanitin
C08439,Fungal toxins,Mushroom toxins,Cyclic peptides,,C08439,Phalloidin
C19957,Fungal toxins,Mushroom toxins,Terpenoids,,C19957,Fasciculol E
C19958,Fungal toxins,Mushroom toxins,Terpenoids,,C19958,Fasciculol F
C09687,Fungal toxins,Mushroom toxins,Terpenoids,,C09687,Illudin M
C09688,Fungal toxins,Mushroom toxins,Terpenoids,,C09688,Illudin S
C19956,Fungal toxins,Mushroom toxins,Terpenoids,,C19956,Neoilludin A
C19949,Fungal toxins,Mushroom toxins,Others,,C19949,Acromelic acid A
C19977,Fungal toxins,Mushroom toxins,Others,,C19977,Clitidine
C08271,Fungal toxins,Mushroom toxins,Others,,C08271,Coprine
C08305,Fungal toxins,Mushroom toxins,Others,,C08305,Gyromitrin
C10600,Fungal toxins,Mushroom toxins,Others,,C10600,Ibotenic acid
C19978,Fungal toxins,Mushroom toxins,Others,,C19978,Sclerocitrin
C06047,Fungal toxins,Mushroom toxins,Others,,C06047,Stizolobate
C06048,Fungal toxins,Mushroom toxins,Others,,C06048,Stizolobinate
C19979,Fungal toxins,Mushroom toxins,Others,,C19979,Ustalic acid
C19976,Fungal toxins,Mushroom toxins,Others,,C19976,Valinopine
C06800,Fungal toxins,Mycotoxins,Aflatoxins,,C06800,Aflatoxin B1
C16753,Fungal toxins,Mycotoxins,Aflatoxins,,C16753,Aflatoxin B2
C16754,Fungal toxins,Mycotoxins,Aflatoxins,,C16754,Aflatoxin G2
C16755,Fungal toxins,Mycotoxins,Aflatoxins,,C16755,Aflatoxin G1
C16756,Fungal toxins,Mycotoxins,Aflatoxins,,C16756,Aflatoxin M1
C09662,Fungal toxins,Mycotoxins,Trichothecenes,,C09662,Diacetoxyscirpenol
C19952,Fungal toxins,Mycotoxins,Trichothecenes,,C19952,HT-2 Toxin
C09738,Fungal toxins,Mycotoxins,Trichothecenes,,C09738,T-2 Toxin
C19583,Fungal toxins,Mycotoxins,Trichothecenes,,C19583,Fusarenone X
C06080,Fungal toxins,Mycotoxins,Trichothecenes,,C06080,Nivalenol
C09747,Fungal toxins,Mycotoxins,Trichothecenes,,C09747,Vomitoxin
C20017,Fungal toxins,Mycotoxins,Trichothecenes,,C20017,Satratoxin H
C19241,Fungal toxins,Mycotoxins,Fumonisins,,C19241,Fumonisin B1
C19242,Fungal toxins,Mycotoxins,Fumonisins,,C19242,Fumonisin B2
C09023,Fungal toxins,Mycotoxins,Ergot alkaloids,,C09023,Agroclavine
C09162,Fungal toxins,Mycotoxins,Ergot alkaloids,,C09162,Ergocornine
C09164,Fungal toxins,Mycotoxins,Ergot alkaloids,,C09164,Ergocristine
C07545,Fungal toxins,Mycotoxins,Ergot alkaloids,,C07545,alpha-Ergocryptine
C20590,Fungal toxins,Mycotoxins,Ergot alkaloids,,C20590,beta-Ergocryptine
C07543,Fungal toxins,Mycotoxins,Ergot alkaloids,,C07543,Ergonovine
C07544,Fungal toxins,Mycotoxins,Ergot alkaloids,,C07544,Ergotamine
C20555,Fungal toxins,Mycotoxins,Indole diterpene alkaloids,,C20555,Aflatrem
C20527,Fungal toxins,Mycotoxins,Indole diterpene alkaloids,,C20527,Emindole SB
C20600,Fungal toxins,Mycotoxins,Indole diterpene alkaloids,,C20600,Janthitrem B
C20601,Fungal toxins,Mycotoxins,Indole diterpene alkaloids,,C20601,Janthitrem C
C20551,Fungal toxins,Mycotoxins,Indole diterpene alkaloids,,C20551,Lolitrem B
C20530,Fungal toxins,Mycotoxins,Indole diterpene alkaloids,,C20530,Paspaline
C20553,Fungal toxins,Mycotoxins,Indole diterpene alkaloids,,C20553,Paspalicine
C20554,Fungal toxins,Mycotoxins,Indole diterpene alkaloids,,C20554,Paspalinine
C13782,Fungal toxins,Mycotoxins,Indole diterpene alkaloids,,C13782,Paxilline
C20070,Fungal toxins,Mycotoxins,Indole diterpene alkaloids,,C20070,Penitrem A
C20731,Fungal toxins,Mycotoxins,Indole diterpene alkaloids,,C20731,Penitrem B
C20795,Fungal toxins,Mycotoxins,Indole diterpene alkaloids,,C20795,Penitrem C
C20596,Fungal toxins,Mycotoxins,Indole diterpene alkaloids,,C20596,Penitrem D
C20597,Fungal toxins,Mycotoxins,Indole diterpene alkaloids,,C20597,Penitrem E
C20598,Fungal toxins,Mycotoxins,Indole diterpene alkaloids,,C20598,Penitrem F
C20599,Fungal toxins,Mycotoxins,Indole diterpene alkaloids,,C20599,Pennigritrem
C20546,Fungal toxins,Mycotoxins,Indole diterpene alkaloids,,C20546,Terpendole C
