,score,pvalue,FDR,mesh_terms
Organic Chemicals,0.0131017,2.16512E-27,1.21247E-24,"Trypan Blue;Merbromin;Suloctidil;Iodohippuric Acid;Methylnitronitrosoguanidine;Oxaloacetic Acid;Chlormequat;Aminoethylphosphonic Acid;Tetraethylammonium;Zinc Acetate;Clodronic Acid;Vitamin K 3;Cetrimonium;Putrescine;Oxalic Acid;Trifluoroacetic Acid;Metformin;Penicillamine;Dichloroacetic Acid;Iron-Dextran Complex;4-Aminobenzoic Acid;Valproic Acid;Nitrilotriacetic Acid;Iodoacetic Acid;2,4-Dichlorophenoxyacetic Acid;Mitoguazone;Tetramisole;Zineb;Etidronic Acid;Azathioprine;Etidocaine;Chloralose;Technetium Tc 99m Mertiatide;Inositol 1,4,5-Trisphosphate;Technetium Tc 99m Dimercaptosuccinic Acid;Calcium Citrate;Ipodate;Carubicin;Sildenafil Citrate;Afatinib;Alcuronium;Esomeprazole;Oxytetracycline;Thiocholine;Mesna;Sodium Acetate"
"Acids, Acyclic",0.0562771,2.55592E-16,7.15658E-14,"Oxaloacetic Acid;Zinc Acetate;Oxalic Acid;Trifluoroacetic Acid;Dichloroacetic Acid;Valproic Acid;Nitrilotriacetic Acid;Iodoacetic Acid;2,4-Dichlorophenoxyacetic Acid;Zineb;Technetium Tc 99m Dimercaptosuccinic Acid;Calcium Citrate;Sodium Acetate"
Carboxylic Acids,0.0291829,1.39169E-14,2.59782E-12,"Iodohippuric Acid;Oxaloacetic Acid;Zinc Acetate;Oxalic Acid;Trifluoroacetic Acid;Dichloroacetic Acid;4-Aminobenzoic Acid;Valproic Acid;Nitrilotriacetic Acid;Iodoacetic Acid;2,4-Dichlorophenoxyacetic Acid;Zineb;Technetium Tc 99m Dimercaptosuccinic Acid;Calcium Citrate;Sodium Acetate"
Inorganic Chemicals,0.0163785,4.66416E-13,6.52983E-11,Ammonium Sulfate;Tin Fluorides;Selenic Acid;Vitallium;Tetrathionic Acid;Calcium Sulfate;Iodides;Selenium Oxides;Acidulated Phosphate Fluoride;Potassium Permanganate;Sodium Selenite;Zinc Sulfate;Vanadates;Ferrosoferric Oxide;Osmium Tetroxide;Calcium Citrate;Aluminum Hydroxide;Dithionite
Acetates,0.148936,3.61172E-12,4.04513E-10,"Zinc Acetate;Trifluoroacetic Acid;Dichloroacetic Acid;Nitrilotriacetic Acid;Iodoacetic Acid;2,4-Dichlorophenoxyacetic Acid;Sodium Acetate"
"Heterocyclic Compounds, Fused-Ring",0.0149597,2.3692E-09,1.89536E-07,Guanosine Diphosphate Mannose;NADP;Amiodarone;Aminacrine;Azathioprine;Ivabradine;Guanosine Diphosphate Fucose;Sildenafil Citrate;Propidium;Afatinib;Alcuronium;Esomeprazole;Acetyl Coenzyme A
Sulfur Compounds,0.178571,2.08479E-09,1.94581E-07,Ammonium Sulfate;Tetrathionic Acid;Calcium Sulfate;Zinc Sulfate;Dithionite
Heterocyclic Compounds,0.00895522,6.23101E-09,3.48936E-07,Guanosine Diphosphate Mannose;NADP;Amiodarone;Aminacrine;Tetramisole;Oxazolone;Azathioprine;Cilazapril;Diphenoxylate;Ivabradine;Guanosine Diphosphate Fucose;Sildenafil Citrate;Propidium;Almitrine;Afatinib;Alcuronium;Esomeprazole;Acetyl Coenzyme A
Sulfur Compounds,0.0219298,5.05309E-09,3.53716E-07,Trypan Blue;Penicillamine;Tetramisole;Zineb;Azathioprine;Technetium Tc 99m Dimercaptosuccinic Acid;Sildenafil Citrate;Esomeprazole;Thiocholine;Mesna
Carbohydrates,0.0215983,5.81733E-09,3.61967E-07,"Maltose;Guanosine Diphosphate Mannose;Iron-Dextran Complex;Glucosamine;Gum Arabic;Chloralose;Inositol 1,4,5-Trisphosphate;Guanosine Diphosphate Fucose;Carubicin;Tragacanth"
"Heterocyclic Compounds, 2-Ring",0.0170543,1.09228E-08,5.09733E-07,Guanosine Diphosphate Mannose;NADP;Amiodarone;Azathioprine;Ivabradine;Guanosine Diphosphate Fucose;Sildenafil Citrate;Afatinib;Alcuronium;Esomeprazole;Acetyl Coenzyme A
Sulfuric Acids,0.333333,1.05402E-08,5.36593E-07,Ammonium Sulfate;Tetrathionic Acid;Calcium Sulfate;Zinc Sulfate
Sulfur Acids,0.25,2.79202E-08,1.11681E-06,Ammonium Sulfate;Tetrathionic Acid;Calcium Sulfate;Zinc Sulfate
Quaternary Ammonium Compounds,0.102041,2.70388E-08,1.16475E-06,Chlormequat;Tetraethylammonium;Cetrimonium;Alcuronium;Thiocholine
Onium Compounds,0.0980392,3.25747E-08,1.21612E-06,Chlormequat;Tetraethylammonium;Cetrimonium;Alcuronium;Thiocholine
Purines,0.0508475,5.37984E-08,1.88294E-06,Guanosine Diphosphate Mannose;NADP;Azathioprine;Guanosine Diphosphate Fucose;Sildenafil Citrate;Acetyl Coenzyme A
Quaternary Ammonium Compounds,0.0862069,5.94032E-08,1.95681E-06,Chlormequat;Tetraethylammonium;Cetrimonium;Alcuronium;Thiocholine
Selenium Compounds,0.6,2.10811E-07,6.55858E-06,Selenic Acid;Selenium Oxides;Sodium Selenite
Amines,0.0201511,3.26149E-07,9.61281E-06,Suloctidil;Chlormequat;Tetraethylammonium;Cetrimonium;Putrescine;Etidocaine;Alcuronium;Thiocholine
Hydrocarbons,0.0117521,4.24172E-07,1.18768E-05,Trypan Blue;Iodohippuric Acid;Vitamin K 3;Trifluoroacetic Acid;Dichloroacetic Acid;4-Aminobenzoic Acid;Iodoacetic Acid;Ipodate;Carubicin;Oxytetracycline;Mesna
Sulfates,0.3,1.07039E-06,2.85438E-05,Ammonium Sulfate;Calcium Sulfate;Zinc Sulfate
Organometallic Compounds,0.0888889,1.1779E-06,2.9983E-05,Merbromin;Zineb;Technetium Tc 99m Mertiatide;Technetium Tc 99m Dimercaptosuccinic Acid
Purine Nucleotides,0.0833333,1.49949E-06,3.65094E-05,Guanosine Diphosphate Mannose;NADP;Guanosine Diphosphate Fucose;Acetyl Coenzyme A
Purine Nucleotides,0.0816327,1.6199E-06,3.77976E-05,Guanosine Diphosphate Mannose;NADP;Guanosine Diphosphate Fucose;Acetyl Coenzyme A
Anions,0.0666667,3.46738E-06,7.76692E-05,Iodides;Vanadates;Aluminum Hydroxide;Dithionite
Ions,0.0615385,4.68868E-06,0.000100987,Iodides;Vanadates;Aluminum Hydroxide;Dithionite
Electrolytes,0.0597015,5.25672E-06,0.000109028,Iodides;Vanadates;Aluminum Hydroxide;Dithionite
Sulfhydryl Compounds,0.125,1.07703E-05,0.000215407,Technetium Tc 99m Dimercaptosuccinic Acid;Thiocholine;Mesna
Trimethyl Ammonium Compounds,0.12,1.20488E-05,0.000232666,Chlormequat;Cetrimonium;Thiocholine
Guanidines,0.111111,1.48975E-05,0.000269117,Methylnitronitrosoguanidine;Metformin;Mitoguazone
Ribonucleotides,0.0454545,1.47297E-05,0.000274955,Guanosine Diphosphate Mannose;NADP;Guanosine Diphosphate Fucose;Acetyl Coenzyme A
"Hydrocarbons, Aromatic",0.0142276,1.64512E-05,0.000287897,Trypan Blue;Iodohippuric Acid;Vitamin K 3;4-Aminobenzoic Acid;Ipodate;Carubicin;Oxytetracycline
Organophosphonates,0.1,1.99502E-05,0.000338549,Aminoethylphosphonic Acid;Clodronic Acid;Etidronic Acid
"Hydrocarbons, Halogenated",0.0412371,2.12858E-05,0.00035059,Trifluoroacetic Acid;Dichloroacetic Acid;Iodoacetic Acid;Ipodate
Amidines,0.0909091,2.6017E-05,0.000364238,Methylnitronitrosoguanidine;Metformin;Mitoguazone
Guanosine Diphosphate Sugars,0.666667,2.42665E-05,0.000367277,Guanosine Diphosphate Mannose;Guanosine Diphosphate Fucose
Guanosine Diphosphate Sugars,0.666667,2.42665E-05,0.000367277,Guanosine Diphosphate Mannose;Guanosine Diphosphate Fucose
Guanosine Diphosphate Sugars,0.666667,2.42665E-05,0.000367277,Guanosine Diphosphate Mannose;Guanosine Diphosphate Fucose
Guanosine Diphosphate Sugars,0.666667,2.42665E-05,0.000367277,Guanosine Diphosphate Mannose;Guanosine Diphosphate Fucose
Guanosine Diphosphate Sugars,0.666667,2.42665E-05,0.000367277,Guanosine Diphosphate Mannose;Guanosine Diphosphate Fucose
Polysaccharides,0.0357143,3.66445E-05,0.000446108,Maltose;Iron-Dextran Complex;Gum Arabic;Tragacanth
