GenericArticleId,RelevanceScore,PMID,DOI,PublicationDate,IsReview,Title,Author,Journal,Citation,ChemicalName,DiseaseName,GeneSymbolName,u,v,NeighborName,OrderingByCooccurrenceScore,QueryArticleCount,NeighborArticleCount,TotalArticleCount,EffectiveTotalArticleCount,ArticleCount,CooccurrenceScore
3750294,275,35764143,10.1016/j.cpcardiol.2022.101292,2022-06-25,TRUE,P2Y12 Inhibitors versus Aspirin Monotherapy for Long-term Secondary Prevention of Atherosclerotic Cardiovascular Disease Events: A Systematic Review and Meta-analysis,"Ahmad Al-Abdouh, Waiel Abusnina, Mohammed Mhanna, Qais Radideh, Hossam Alzu, Anan Abu Rmilah, Ahmad Jabri, Mahmoud Barbarawi, Khaldun Obeidat, Taqwa Alabduh, Erin D Michos, Talal Alnabelsi, Timir K Paul",Current problems in cardiology,2022 Jun; ?(?):101292,aspirin,,p2y12,2244,p2ry12,purinergic receptor p2y12,TRUE,20091,4062,34603510,4572961,1483,67946
3772820,275,35829979,10.1007/s10557-022-07367-3,2022-07-13,TRUE,The Cost of Breaking Even: a Perspective on the Net Clinical Impact of Adding Aspirin to Antithrombotic Therapies in Patients with Atrial Fibrillation Undergoing Percutaneous Coronary Intervention,"Jeffrey Triska, Faris Haddadin, Luai Madanat, Ahmad Jabri, Marilyne Daher, Yochai Birnbaum, Hani Jneid",Cardiovascular drugs and therapy,2022 Jul; ?(?):,aspirin,,p2y12,2244,p2ry12,purinergic receptor p2y12,TRUE,20091,4062,34603510,4572961,1483,67946
4620063,270,31957518,10.1080/09537104.2020.1714574,2021-01-02,TRUE,Novel approaches to P2Y12 inhibition and aspirin dosing,"William A E Parker, Robert F Storey",Platelets,2021 Jan; 32(1):7-14,aspirin,,p2y12,2244,p2ry12,purinergic receptor p2y12,TRUE,20091,4062,34603510,4572961,1483,67946
5071249,270,32921373,10.1016/j.iccl.2020.06.003,2020-10-01,TRUE,The Role of Aspirin After High-Risk Percutaneous Coronary Intervention: The Ticagrelor with Aspirin or Alone in High-Risk Patients After Coronary Intervention Clinical Trial Experience,"Zain Ul Abideen Asad, Usman Baber",Interventional cardiology clinics,2020 10; 9(4):489-498,aspirin,,p2y12,2244,p2ry12,purinergic receptor p2y12,TRUE,20091,4062,34603510,4572961,1483,67946
5086581,270,32962804,10.1016/j.amjcard.2020.07.061,2020-11-15,TRUE,"Optimizing Monotherapy Selection, Aspirin Versus P2Y12 Inhibitors, Following Percutaneous Coronary Intervention","Charan Yerasi, Brian C Case, Brian J Forrestal, Rebecca Torguson, William S Weintraub, Hector M Garcia-Garcia, Ron Waksman",The American journal of cardiology,2020 11; 135(?):154-165,aspirin,,p2y12,2244,p2ry12,purinergic receptor p2y12,TRUE,20091,4062,34603510,4572961,1483,67946
3416868,275,35171329,10.1007/s00432-022-03942-1,2022-02-16,TRUE,Meta-analysis of aspirin-guided therapy of colorectal cancer,"Johanna C Mädge, Andreas Stallmach, Lisa Kleebusch, Peter Schlattmann",Journal of cancer research and clinical oncology,2022 Feb; ?(?):,aspirin,,cox-2; prostaglandin-endoperoxide synthase 2,2244,ptgs2,prostaglandin-endoperoxide synthase 2,TRUE,20091,38182,34603510,4572961,1983,61880
3755823,275,35780223,10.1007/s00018-022-04430-y,2022-07-02,TRUE,Aspirin sensitivity of PIK3CA-mutated Colorectal Cancer: potential mechanisms revisited,"Daniella C N Hall, Ralf A Benndorf",Cellular and molecular life sciences : CMLS,2022 Jul; 79(7):393,acetylsalicylic acid; aspirin,,cyclooxygenase-2,2244,ptgs2,prostaglandin-endoperoxide synthase 2,TRUE,20091,38182,34603510,4572961,1983,61880
5099275,270,32997790,10.1002/ijc.33323,2021-03-15,TRUE,A potential role for aspirin in the prevention and treatment of cholangiocarcinoma,"Xizi Shen, Xingping Shen",International journal of cancer,2021 03; 148(6):1323-1330,aspirin,,cox-2,2244,ptgs2,prostaglandin-endoperoxide synthase 2,TRUE,20091,38182,34603510,4572961,1983,61880
5230621,270,33360326,10.1016/j.ctarc.2020.100267,2021-01-01,TRUE,The multiple effects of aspirin in prostate cancer patients,"S N Joshi, E A Murphy, P Olaniyi, R J Bryant",Cancer treatment and research communications,2021; 26(?):100267,aspirin,,cyclooxygenase-2,2244,ptgs2,prostaglandin-endoperoxide synthase 2,TRUE,20091,38182,34603510,4572961,1983,61880
5324903,270,33618245,10.1016/j.mehy.2021.110536,2021-04-01,TRUE,Aspirin and celecoxib may help to rectify a neurotransmission imbalance in bipolar disorder,Stanley I Rapoport,Medical hypotheses,2021 Apr; 149(?):110536,aspirin,,cox-2,2244,ptgs2,prostaglandin-endoperoxide synthase 2,TRUE,20091,38182,34603510,4572961,1983,61880
5082086,270,32950684,10.1016/j.anai.2020.09.011,2021-02-01,TRUE,Lipid-mediated innate lymphoid cell recruitment and activation in aspirin-exacerbated respiratory disease,"Kellen J Cavagnero, Taylor A Doherty","Annals of allergy, asthma & immunology : official publication of the American College of Allergy, Asthma, & Immunology",2021 02; 126(2):135-142,aspirin,,cyclooxygenase-1,2244,ptgs1,prostaglandin-endoperoxide synthase 1,TRUE,20091,8709,34603510,4572961,1225,50033
5221907,270,33336182,10.1016/j.wjorl.2020.07.004,2020-12-01,TRUE,Endogenous cannabinoids may regulate chronic inflammation in aspirin-exacerbated respiratory disease,Joshua M Levy,World journal of otorhinolaryngology - head and neck surgery,2020 Dec; 6(4):255-257,aspirin,,cyclooxygenase-1,2244,ptgs1,prostaglandin-endoperoxide synthase 1,TRUE,20091,8709,34603510,4572961,1225,50033
5324903,270,33618245,10.1016/j.mehy.2021.110536,2021-04-01,TRUE,Aspirin and celecoxib may help to rectify a neurotransmission imbalance in bipolar disorder,Stanley I Rapoport,Medical hypotheses,2021 Apr; 149(?):110536,aspirin,,cox-1,2244,ptgs1,prostaglandin-endoperoxide synthase 1,TRUE,20091,8709,34603510,4572961,1225,50033
5338526,270,33657423,10.1016/j.ejphar.2021.173989,2021-05-05,TRUE,Mechanisms of the antiangiogenic effects of aspirin in cancer,"Shiyuan Xie, Youqiong Wang, Yixuan Huang, Bin Yang",European journal of pharmacology,2021 May; 898(?):173989,aspirin,,cox-1,2244,ptgs1,prostaglandin-endoperoxide synthase 1,TRUE,20091,8709,34603510,4572961,1225,50033
5663341,270,34305932,10.3389/fimmu.2021.695815,2021-01-01,TRUE,Aspirin Actions in Treatment of NSAID-Exacerbated Respiratory Disease,"Esha Sehanobish, Mohammad Asad, Mali Barbi, Steven A Porcelli, Elina Jerschow",Frontiers in immunology,2021; 12(?):695815,aspirin,,cyclooxygenase-1,2244,ptgs1,prostaglandin-endoperoxide synthase 1,TRUE,20091,8709,34603510,4572961,1225,50033
3483939,265,35353154,10.1093/ehjcvp/pvac022,2022-03-30,FALSE,Platelet P2Y12 inhibiting therapy in adjunct to vascular dose of rivaroxaban or aspirin: A pharmacodynamic study of dual pathway inhibition versus dual antiplatelet therapy,"Mattia Galli, Francesco Franchi, Fabiana Rollini, Latonya Been, Patrick Abou Jaoude, Andrea Rivas, Xuan Zhou, Sida Jia, Naji Maaliki, Chang Hoon Lee, Andres M Pineda, Siva Suryadevara, Daniel Soffer, Martin M Zenni, Tobias Geisler, Lisa K Jennings, Theodore A Bass, Dominick J Angiolillo",European heart journal. Cardiovascular pharmacotherapy,2022 Mar; ?(?):,aspirin,,thrombin,2244,f2,"coagulation factor ii, thrombin",TRUE,20091,30475,34603510,4572961,1458,47641
3669744,265,35556046,10.1096/fasebj.2022.36.s1.r2331,2022-05-01,FALSE,"Human platelet-mediated transfer of cardioprotection by remote ischemic conditioning is abrogated by aspirin, but not by ticagrelor","Helmut R Lieder, Maria Tsounami, Karsten Schrör, Ioanna Andreadou, Gerd Heusch, Petra Kleinbongard",FASEB journal : official publication of the Federation of American Societies for Experimental Biology,2022 May; 36 Suppl 1(?):,aspirin,,thrombin,2244,f2,"coagulation factor ii, thrombin",TRUE,20091,30475,34603510,4572961,1458,47641
3688061,265,35600474,10.3389/fcvm.2022.865166,2022-01-01,FALSE,Differential Inhibition of Platelet Reactivity by Dual Therapy With Aspirin and Low-Dose Rivaroxaban in Peripheral Arterial Disease: A Pilot Study,"Kerstin Jurk, Korbinian F Rothenaicher, Kathrin Groß, Heidi Rossmann, Gerhard Weißer, Irene Schmidtmann, Thomas Münzel, Christine Espinola-Klein",Frontiers in cardiovascular medicine,2022; 9(?):865166,acetylsalicylic acid; aspirin,,thrombin,2244,f2,"coagulation factor ii, thrombin",TRUE,20091,30475,34603510,4572961,1458,47641
