GenericArticleId,RelevanceScore,PMID,DOI,PublicationDate,IsReview,Title,Author,Journal,Citation,ChemicalName,DiseaseName,GeneSymbolName,u,v,NeighborName,OrderingByCooccurrenceScore,QueryArticleCount,NeighborArticleCount,TotalArticleCount,EffectiveTotalArticleCount,ArticleCount,CooccurrenceScore
3479877,275,35341798,10.1016/j.cpcardiol.2022.101174,2022-03-24,TRUE,Clopidogrel Versus Aspirin Monotherapy Following Dual Antiplatelet Therapy After Percutaneous Coronary Intervention: A Systematic Review and Meta-analysis,"Bryan E-Xin Tan, Pui Yen Wong, Bipul Baibhav, Samarthkumar Thakkar, Abdullah Zoheb Azhar, Mohan Rao, Jim W Cheung",Current problems in cardiology,2022 Mar; ?(?):101174,,,,2244,60606,Clopidogrel,TRUE,60946,13900,34603510,12151058,7257,301318
5198972,270,33271959,10.3390/jcm9123907,2020-12-01,TRUE,Effectiveness of Platelet Function Analysis-Guided Aspirin and/or Clopidogrel Therapy in Preventing Secondary Stroke: A Systematic Review and Meta-Analysis,"Ann-Rong Yan, Mark Naunton, Gregory M Peterson, Israel Fernandez-Cadenas, Reza Mortazavi",Journal of clinical medicine,2020 Dec; 9(12):,,,,2244,60606,Clopidogrel,TRUE,60946,13900,34603510,12151058,7257,301318
195564,265,29240976,10.1002/14651858.cd005158.pub4,2017-12-14,TRUE,Clopidogrel plus aspirin versus aspirin alone for preventing cardiovascular events,"Alessandro Squizzato, Marta Bellesini, Andrea Takeda, Saskia Middeldorp, Marco Paolo Donadini",The Cochrane database of systematic reviews,2017 12; 12(?):CD005158,,,,2244,60606,Clopidogrel,TRUE,60946,13900,34603510,12151058,7257,301318
230627,265,29335863,10.1007/s11655-017-2551-4,2019-05-01,TRUE,Integrative Medicine on Optimizing Clopidogrel and Aspirin Therapy,Hui Chen,Chinese journal of integrative medicine,2019 May; 25(5):395-400,,,,2244,60606,Clopidogrel,TRUE,60946,13900,34603510,12151058,7257,301318
1277651,265,29595635,10.1097/md.0000000000010123,2018-03-01,TRUE,"Aspirin plus dipyridamole has the highest surface under the cumulative ranking curves (SUCRA) values in terms of mortality, intracranial hemorrhage, and adverse event rate among 7 drug therapies in the treatment of cerebral infarction","Jian-Jun Zhang, Xin Liu",Medicine,2018 Mar; 97(13):e0123,,,,2244,60606,Clopidogrel,TRUE,60946,13900,34603510,12151058,7257,301318
3368881,265,35040913,10.1001/jamaneurol.2021.4905,2022-01-18,FALSE,"Infarct on Brain Imaging, Subsequent Ischemic Stroke, and Clopidogrel-Aspirin Efficacy: A Post Hoc Analysis of a Randomized Clinical Trial","Sara K Rostanski, Alexandra Kvernland, Ava L Liberman, Adam de Havenon, Nils Henninger, Brian Mac Grory, Anthony S Kim, J Donald Easton, S Claiborne Johnston, Shadi Yaghi",JAMA neurology,2022 Jan; ?(?):,,,,2244,60606,Clopidogrel,TRUE,60946,13900,34603510,12151058,7257,301318
3398110,265,35121011,10.1016/j.neuint.2022.105301,2022-02-01,FALSE,The effect of clopidogrel and aspirin on the severity of traumatic brain injury in a rat model,"Firas Kobeissy, Khalil Mallah, Kazem Zibara, Fatima Dakroub, Zeinab Dalloul, Mohammad Nasser, Leila Nasrallah, Zahraa Mallah, Ghewa A El-Achkar, Naify Ramadan, Wael Mohamed, Stefania Mondello, Eva Hamade, Aida Habib",Neurochemistry international,2022 Feb; ?(?):105301,,,,2244,60606,Clopidogrel,TRUE,60946,13900,34603510,12151058,7257,301318
3431783,265,35211819,10.1007/s10557-022-07325-z,2022-02-25,FALSE,Being Overweight or Obese Is Associated with an Increased Platelet Reactivity Despite Dual Antiplatelet Therapy with Aspirin and Clopidogrel,"Marianna Puccini, Christian Rauch, Kai Jakobs, Julian Friebel, Adel Hassanein, Ulf Landmesser, Ursula Rauch",Cardiovascular drugs and therapy,2022 Feb; ?(?):,,,,2244,60606,Clopidogrel,TRUE,60946,13900,34603510,12151058,7257,301318
5829876,275,34760289,10.1302/2058-5241.6.200120,2021-10-01,TRUE,Prevention of venous thromboembolism with aspirin following knee surgery: A systematic review and meta-analysis,"Stephanie Marrannes, Klaas Victor, Nele Arnout, Tine De Backer, Jan Victor, Thomas Tampere",EFORT open reviews,2021 Oct; 6(10):892-904,,,,2244,54678486,Warfarin,TRUE,60946,30006,34603510,12151058,3464,127488
230627,265,29335863,10.1007/s11655-017-2551-4,2019-05-01,TRUE,Integrative Medicine on Optimizing Clopidogrel and Aspirin Therapy,Hui Chen,Chinese journal of integrative medicine,2019 May; 25(5):395-400,,,,2244,54678486,Warfarin,TRUE,60946,30006,34603510,12151058,3464,127488
